Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2015.01.28	2002,16	303,91	512,43	76,24	41,19	101,48	31,95	87,95	54,75	217160	139,64	104,74	86,82	52,16	46,05	95,72
2015.01.29	2021,25	311,78	513,23	78	42,01	102,38	31,83	87,58	55,67	219998	147,78	107,62	87,72	52,76	46,11	96,03
2015.01.30	1994,99	354,53	537,55	75,91	40,4	100,14	31,25	87,42	54,38	215865	145,37	104,42	84,98	51,92	45,71	93,78
2015.02.02	2020,85	364,47	532,2	74,99	41,28	100,83	31,65	89,58	55,47	220099,98	146,26	104,43	85,71	52,81	46,98	95,33
2015.02.03	2050,03	363,55	533,3	75,4	41,6	102,46	32,02	92,25	56,72	222183	147,34	107,24	86,19	53,45	47,83	96,2
2015.02.04	2041,51	364,75	526,1	75,63	41,84	101,36	32,07	91,46	56,38	221026,88	147,22	108,41	86,65	53,03	47,8	96,6
2015.02.05	2062,52	373,89	529,83	75,615	42,45	102,46	32,99	92,36	56,77	224560	148,6	108,99	87,28	53,67	47,86	96,61
2015.02.06	2055,47	374,28	533,875	74,47	42,41	101,1	33,17	91,5	57,89	224880	148	109,04	87,33	54,45	49,33	96,71
2015.02.09	2046,74	370,56	529,28	74,44	42,36	99,78	33,07	91,56	57,82	223999,88	147,58	108,34	85,91	54,21	49,09	95,97
2015.02.10	2068,59	372,995	540,16	75,19	42,6	100,35	34,15	91,01	58,46	225140	148,04	110,67	87,29	54,57	49,51	97,99
2015.02.11	2068,53	375,14	538	76,51	42,38	100,38	34,25	90,6	58,37	224392,84	147,92	110,31	86,34	53,9	49,81	100,4
2015.02.12	2088,48	377,17	546,01	76,23	43,09	98,44	34,87	92,37	59,57	224460	148,09	112,16	85,89	54,86	49,52	100,27
2015.02.13	2096,99	381,83	551,16	75,74	43,87	99,62	34,64	93,37	59,67	222555	149,73	111,89	85,81	55,33	49,31	99,13
2015.02.16	2096,99	381,83	551,16	75,74	43,87	99,62	34,64	93,37	59,67	222555	149,73	111,89	85,81	55,33	49,31	99,13
2015.02.17	2100,34	375,43	545,01	75,6	43,58	100,44	34,58	93,05	60,1	223300	149,92	112	85,96	55,37	49,18	98,36
2015.02.18	2099,68	373,37	542,65	76,71	43,53	99,96	34,48	91,01	59,37	222800	151,17	111,99	86,29	54,52	48,94	99,33
2015.02.19	2097,45	378,995	546,45	79,42	43,5	100,7	34,41	89,44	59,23	221495	153,75	110,94	83,52	54,56	48,91	98,72
2015.02.20	2110,3	383,66	541,8	79,895	43,855	100,26	34,56	89,92	59,8	223100	158,31	112,24	84,3	54,83	48,97	99,06
2015.02.23	2109,66	380,14	535	78,84	44,15	100,18	34,39	89,01	59,35	221000	154,74	112,28	84,6	55,1	48,77	99,45
2015.02.24	2115,48	378,59	538,65	78,45	44,09	100,7	34,34	89,42	60,82	223405	154,38	116,75	84,57	55,37	49,22	99,58
2015.02.25	2113,86	385,37	547,33	79,56	43,99	101,21	34,66	89,6	61,14	222855	153,01	116,31	83,57	55,33	49,2	99,5
2015.02.26	2110,74	384,8	559,29	80,41	44,055	102,8	34,59	88,65	61,58	222250	151,73	115,38	83,8	55,15	49,37	99,07
2015.02.27	2104,5	380,16	562,63	78,97	43,85	102,51	34,32	88,54	61,28	221180	150,85	114,75	83,93	54,79	49,45	98,98
2015.03.02	2117,39	385,655	575,02	79,75	43,88	103,22	34,77	88,04	61,77	220365	153,8	116,12	83,96	55,55	49,47	99
2015.03.03	2107,78	384,61	578,795	79,6	43,28	102,34	34,56	87,62	61,97	219000	155,57	116,07	83,37	55,45	49,55	98,4
2015.03.04	2098,53	382,72	578,33	80,895	43,055	101,65	34,64	87,18	62,13	217612	154,35	114,76	82,58	54,82	49,07	97,36
2015.03.05	2101,04	387,83	581,435	81,21	43,11	102,52	34,47	86,74	62	219500	154,47	115,91	83,57	54,84	48,92	97,23
2015.03.06	2071,26	380,09	572,9	80,005	42,36	100,11	33,97	85,63	60,89	218810,98	153,12	114,45	82,59	54,59	48,29	96,17
2015.03.09	2079,43	378,56	574,1	79,44	42,85	100,66	34,03	85,16	61,5	220499,91	154,75	115,25	82,88	54,67	48,23	96,04
2015.03.10	2044,16	369,51	559,85	77,55	42,03	99,53	33,78	84,26	59,96	217400	152,42	112,56	82,07	53,29	47,51	94,43
2015.03.11	2040,24	366,37	555,69	77,57	41,98	98,32	33,63	84,02	60,24	217500	151,17	113,07	80,69	53,7	47,68	93,63
2015.03.12	2065,95	374,24	561,17	78,93	41,02	99,83	34	84,22	61,37	219898	152,04	116,1	81,9	55,59	48,73	95,71
2015.03.13	2053,4	370,58	553	78,05	41,38	99,21	34	83,87	61	217118	151,57	114,82	81,9	55,34	48,84	94,32
2015.03.16	2081,19	373,35	561,64	78,07	41,56	101,06	34,44	84,76	61,85	219502	153,67	116,5	83,29	55,73	49,27	95,45
2015.03.17	2074,28	371,92	557,61	79,365	41,695	99,89	34,17	84,08	61,61	218599,95	154,51	115,58	82,62	55,91	48,95	94,13
2015.03.18	2099,5	375,135	566,16	80,91	42,5	101,46	34,38	86,07	61,75	219699	155,73	116,08	82,53	56,17	49,54	94,64
2015.03.19	2089,27	373,24	563,67	82,75	42,285	101,69	34,15	84,41	61,2	218000	154,11	115,16	81,52	55,51	49,3	94,1
2015.03.20	2108,1	378,49	564,95	83,8	42,88	102,4	34,25	84,54	61,75	218300	154,5	117,49	83,24	56,01	49,56	95,34
2015.03.23	2104,42	375,11	565,37	84,43	42,855	102,98	35,05	85,43	61,14	218646	152,81	116,07	83,31	55,78	49,64	95,85
2015.03.24	2091,5	374,09	577,54	85,31	42,9	101,96	34,52	84,52	60,46	217005	151,65	116,15	83,05	55,35	49,41	95,86
2015.03.25	2061,05	370,96	567	82,92	41,46	100,34	34,3	84,86	59,61	217000	148,23	113,68	81,32	54,54	48,73	95,26
